timestamp,open,high,low,close,volume,retorno_diario,retorno_acumulado,mm_7,mm_30,mm_200,volatilidade_30
2019-01-01,3701.23,3810.16,3642.0,3797.14,23741.687033,,,,,,
2019-01-02,3796.45,3882.14,3750.45,3858.56,35156.463369,0.016175331960370132,0.016175331960370132,,,,
2019-01-03,3857.57,3862.74,3730.0,3766.78,29406.948359,-0.023786075634433468,-0.007995491343484762,,,,
2019-01-04,3767.2,3823.64,3703.57,3792.01,29519.554671,0.006698028554892987,-0.0013510168179208248,,,,
2019-01-05,3790.09,3840.99,3751.0,3770.96,30490.667751,-0.005551145698455495,-0.006894662825179032,,,,
2019-01-06,3771.12,4027.71,3740.0,3987.6,36553.806709,0.05744956191526818,0.05015880373122905,,,,
2019-01-07,3987.62,4017.9,3921.53,3975.45,31869.846264,-0.0030469455311465943,0.046959027057206004,3849.785714285714,,,
2019-01-08,3976.76,4069.8,3903.0,3955.13,38901.423122,-0.005111371039756452,0.04160763100649412,3872.3557142857144,,,
2019-01-09,3955.45,4006.81,3930.04,3966.65,28989.439511,0.0029126729083495118,0.04464149333445677,3887.7971428571427,,,
2019-01-10,3966.06,3996.01,3540.0,3585.88,59402.22851,-0.09599284030605171,-0.055636610712273105,3861.9542857142856,,,
2019-01-11,3585.88,3658.0,3465.0,3601.31,38338.654733,0.004302988387787643,-0.05157302601431624,3834.7114285714283,,,
2019-01-12,3601.31,3618.19,3530.0,3583.13,21999.928354,-0.005048163029564234,-0.05636084000063224,3807.878571428572,,,
2019-01-13,3584.1,3611.1,3441.3,3476.81,26385.757454,-0.029672381409549753,-0.08436086106912066,3734.9085714285716,,,
2019-01-14,3477.56,3671.87,3467.02,3626.09,35235.211215,0.04293590964130911,-0.04504706173593831,3685.0,,,
2019-01-15,3626.08,3648.42,3516.62,3553.06,34137.997459,-0.02014015096150401,-0.06427995807370834,3627.5614285714287,,,
2019-01-16,3553.06,3645.0,3543.51,3591.84,27480.179977,0.010914535639702239,-0.05406700832732014,3574.0171428571434,,,
2019-01-17,3591.84,3634.7,3530.39,3616.21,29755.440838,0.006784823377433247,-0.047649020051933944,3578.35,,,
2019-01-18,3613.32,3620.0,3565.75,3594.87,22713.446755,-0.005901205958724787,-0.05326903932960081,3577.43,,,
2019-01-19,3594.87,3720.0,3594.23,3665.3,22171.578123,0.0195918072141692,-0.03472086886446113,3589.1685714285713,,,
2019-01-20,3665.75,3693.73,3475.0,3539.28,27901.938598,-0.03438190598313917,-0.06790900519864951,3598.092857142857,,,
2019-01-21,3539.26,3559.51,3475.5,3526.9,19644.436839,-0.003497886575800746,-0.0711693537767899,3583.922857142857,,,
2019-01-22,3526.88,3608.5,3434.85,3570.93,29336.442967,0.012484051149734832,-0.05957378447989814,3586.475714285714,,,
2019-01-23,3570.41,3607.98,3514.5,3552.82,24938.842698,-0.005071507982514323,-0.06434316353887404,3580.9014285714284,,,
2019-01-24,3552.97,3589.0,3529.22,3569.62,20826.25118,0.004728638095935045,-0.05991878097726189,3574.2457142857143,,,
2019-01-25,3569.07,3587.15,3522.51,3565.29,17608.346671,-0.0012130142704265268,-0.0610591129112964,3570.02,,,
2019-01-26,3566.69,3662.94,3545.0,3565.25,19476.532344,-1.1219283704844152e-05,-0.06106964715549068,3555.7271428571426,,,
2019-01-27,3565.62,3579.0,3486.0,3550.84,22735.598162,-0.004041792300680136,-0.06486460862649246,3557.378571428572,,,
2019-01-28,3550.05,3557.75,3380.27,3434.15,40405.111401,-0.03286264658503346,-0.09559563250235703,3544.128571428571,,,
2019-01-29,3434.0,3443.45,3349.92,3411.04,29544.928977,-0.006729467262641453,-0.10168179208562234,3521.287142857143,,,
2019-01-30,3410.04,3478.0,3387.1,3458.18,23968.260243,0.013819832074675187,-0.08926718530262245,3507.7671428571434,3650.302666666667,,166.07095155765333
2019-01-31,3457.5,3489.2,3418.8,3434.1,29607.190253,-0.0069632002961095285,-0.09560880030759988,3488.407142857143,3638.2013333333334,,168.21541916969701
2019-02-01,3434.1,3488.0,3401.2,3462.07,25260.476159,0.008144783203750672,-0.08824273005472527,3473.661428571428,3624.985,,165.86456364798977
2019-02-02,3462.2,3526.4,3440.29,3504.77,17920.802,0.012333661653288308,-0.0769974243772944,3465.0214285714283,3616.2513333333336,,165.0368889742502
